Question,Category,SubCategory
Lilongwe Malawi Rome Italy,Semantic,: capital-world
Lilongwe Malawi Roseau Dominica,Semantic,: capital-world
Lilongwe Malawi Santiago Chile,Semantic,: capital-world
Lilongwe Malawi Skopje Macedonia,Semantic,: capital-world
Lilongwe Malawi Sofia Bulgaria,Semantic,: capital-world
Lilongwe Malawi Stockholm Sweden,Semantic,: capital-world
Lilongwe Malawi Suva Fiji,Semantic,: capital-world
Lilongwe Malawi Taipei Taiwan,Semantic,: capital-world
Lima Peru Lisbon Portugal,Semantic,: capital-world
Lima Peru Ljubljana Slovenia,Semantic,: capital-world
Lima Peru London England,Semantic,: capital-world
Lima Peru Luanda Angola,Semantic,: capital-world
Lima Peru Lusaka Zambia,Semantic,: capital-world
Lima Peru Madrid Spain,Semantic,: capital-world
Lima Peru Managua Nicaragua,Semantic,: capital-world
Lima Peru Manama Bahrain,Semantic,: capital-world
Lima Peru Manila Philippines,Semantic,: capital-world
Lima Peru Maputo Mozambique,Semantic,: capital-world
Lima Peru Minsk Belarus,Semantic,: capital-world
Lima Peru Mogadishu Somalia,Semantic,: capital-world
Lima Peru Monrovia Liberia,Semantic,: capital-world
Lima Peru Montevideo Uruguay,Semantic,: capital-world
Lima Peru Moscow Russia,Semantic,: capital-world
Lima Peru Muscat Oman,Semantic,: capital-world
Lima Peru Nairobi Kenya,Semantic,: capital-world
Lima Peru Nassau Bahamas,Semantic,: capital-world
Lima Peru Niamey Niger,Semantic,: capital-world
Lima Peru Nicosia Cyprus,Semantic,: capital-world
Lima Peru Nouakchott Mauritania,Semantic,: capital-world
Lima Peru Nuuk Greenland,Semantic,: capital-world
Lima Peru Oslo Norway,Semantic,: capital-world
Lima Peru Ottawa Canada,Semantic,: capital-world
Lima Peru Paramaribo Suriname,Semantic,: capital-world
Lima Peru Paris France,Semantic,: capital-world
Lima Peru Podgorica Montenegro,Semantic,: capital-world
Lima Peru Quito Ecuador,Semantic,: capital-world
Lima Peru Rabat Morocco,Semantic,: capital-world
Lima Peru Riga Latvia,Semantic,: capital-world
Lima Peru Rome Italy,Semantic,: capital-world
Lima Peru Roseau Dominica,Semantic,: capital-world
Lima Peru Santiago Chile,Semantic,: capital-world
Lima Peru Skopje Macedonia,Semantic,: capital-world
Lima Peru Sofia Bulgaria,Semantic,: capital-world
Lima Peru Stockholm Sweden,Semantic,: capital-world
Lima Peru Suva Fiji,Semantic,: capital-world
Lima Peru Taipei Taiwan,Semantic,: capital-world
Lima Peru Tallinn Estonia,Semantic,: capital-world
Lisbon Portugal Ljubljana Slovenia,Semantic,: capital-world
Lisbon Portugal London England,Semantic,: capital-world
Lisbon Portugal Luanda Angola,Semantic,: capital-world
Lisbon Portugal Lusaka Zambia,Semantic,: capital-world
Lisbon Portugal Madrid Spain,Semantic,: capital-world
Lisbon Portugal Managua Nicaragua,Semantic,: capital-world
Lisbon Portugal Manama Bahrain,Semantic,: capital-world
Lisbon Portugal Manila Philippines,Semantic,: capital-world
Lisbon Portugal Maputo Mozambique,Semantic,: capital-world
Lisbon Portugal Minsk Belarus,Semantic,: capital-world
Lisbon Portugal Mogadishu Somalia,Semantic,: capital-world
Lisbon Portugal Monrovia Liberia,Semantic,: capital-world
Lisbon Portugal Montevideo Uruguay,Semantic,: capital-world
Lisbon Portugal Moscow Russia,Semantic,: capital-world
Lisbon Portugal Muscat Oman,Semantic,: capital-world
Lisbon Portugal Nairobi Kenya,Semantic,: capital-world
Lisbon Portugal Nassau Bahamas,Semantic,: capital-world
Lisbon Portugal Niamey Niger,Semantic,: capital-world
Lisbon Portugal Nicosia Cyprus,Semantic,: capital-world
Lisbon Portugal Nouakchott Mauritania,Semantic,: capital-world
Lisbon Portugal Nuuk Greenland,Semantic,: capital-world
Lisbon Portugal Oslo Norway,Semantic,: capital-world
Lisbon Portugal Ottawa Canada,Semantic,: capital-world
Lisbon Portugal Paramaribo Suriname,Semantic,: capital-world
Lisbon Portugal Paris France,Semantic,: capital-world
Lisbon Portugal Podgorica Montenegro,Semantic,: capital-world
Lisbon Portugal Quito Ecuador,Semantic,: capital-world
Lisbon Portugal Rabat Morocco,Semantic,: capital-world
Lisbon Portugal Riga Latvia,Semantic,: capital-world
Lisbon Portugal Rome Italy,Semantic,: capital-world
Lisbon Portugal Roseau Dominica,Semantic,: capital-world
Lisbon Portugal Santiago Chile,Semantic,: capital-world
Lisbon Portugal Skopje Macedonia,Semantic,: capital-world
Lisbon Portugal Sofia Bulgaria,Semantic,: capital-world
Lisbon Portugal Stockholm Sweden,Semantic,: capital-world
Lisbon Portugal Suva Fiji,Semantic,: capital-world
Lisbon Portugal Taipei Taiwan,Semantic,: capital-world
Lisbon Portugal Tallinn Estonia,Semantic,: capital-world
Lisbon Portugal Tashkent Uzbekistan,Semantic,: capital-world
Ljubljana Slovenia London England,Semantic,: capital-world
Ljubljana Slovenia Luanda Angola,Semantic,: capital-world
Ljubljana Slovenia Lusaka Zambia,Semantic,: capital-world
Ljubljana Slovenia Madrid Spain,Semantic,: capital-world
Ljubljana Slovenia Managua Nicaragua,Semantic,: capital-world
Ljubljana Slovenia Manama Bahrain,Semantic,: capital-world
Ljubljana Slovenia Manila Philippines,Semantic,: capital-world
Ljubljana Slovenia Maputo Mozambique,Semantic,: capital-world
Ljubljana Slovenia Minsk Belarus,Semantic,: capital-world
Ljubljana Slovenia Mogadishu Somalia,Semantic,: capital-world
Ljubljana Slovenia Monrovia Liberia,Semantic,: capital-world
Ljubljana Slovenia Montevideo Uruguay,Semantic,: capital-world
Ljubljana Slovenia Moscow Russia,Semantic,: capital-world
Ljubljana Slovenia Muscat Oman,Semantic,: capital-world
Ljubljana Slovenia Nairobi Kenya,Semantic,: capital-world
Ljubljana Slovenia Nassau Bahamas,Semantic,: capital-world
Ljubljana Slovenia Niamey Niger,Semantic,: capital-world
Ljubljana Slovenia Nicosia Cyprus,Semantic,: capital-world
Ljubljana Slovenia Nouakchott Mauritania,Semantic,: capital-world
Ljubljana Slovenia Nuuk Greenland,Semantic,: capital-world
Ljubljana Slovenia Oslo Norway,Semantic,: capital-world
Ljubljana Slovenia Ottawa Canada,Semantic,: capital-world
Ljubljana Slovenia Paramaribo Suriname,Semantic,: capital-world
Ljubljana Slovenia Paris France,Semantic,: capital-world
Ljubljana Slovenia Podgorica Montenegro,Semantic,: capital-world
Ljubljana Slovenia Quito Ecuador,Semantic,: capital-world
Ljubljana Slovenia Rabat Morocco,Semantic,: capital-world
Ljubljana Slovenia Riga Latvia,Semantic,: capital-world
Ljubljana Slovenia Rome Italy,Semantic,: capital-world
Ljubljana Slovenia Roseau Dominica,Semantic,: capital-world
Ljubljana Slovenia Santiago Chile,Semantic,: capital-world
Ljubljana Slovenia Skopje Macedonia,Semantic,: capital-world
Ljubljana Slovenia Sofia Bulgaria,Semantic,: capital-world
Ljubljana Slovenia Stockholm Sweden,Semantic,: capital-world
Ljubljana Slovenia Suva Fiji,Semantic,: capital-world
Ljubljana Slovenia Taipei Taiwan,Semantic,: capital-world
Ljubljana Slovenia Tallinn Estonia,Semantic,: capital-world
Ljubljana Slovenia Tashkent Uzbekistan,Semantic,: capital-world
Ljubljana Slovenia Tbilisi Georgia,Semantic,: capital-world
London England Luanda Angola,Semantic,: capital-world
London England Lusaka Zambia,Semantic,: capital-world
London England Madrid Spain,Semantic,: capital-world
London England Managua Nicaragua,Semantic,: capital-world
London England Manama Bahrain,Semantic,: capital-world
London England Manila Philippines,Semantic,: capital-world
London England Maputo Mozambique,Semantic,: capital-world
London England Minsk Belarus,Semantic,: capital-world
London England Mogadishu Somalia,Semantic,: capital-world
London England Monrovia Liberia,Semantic,: capital-world
London England Montevideo Uruguay,Semantic,: capital-world
London England Moscow Russia,Semantic,: capital-world
London England Muscat Oman,Semantic,: capital-world
London England Nairobi Kenya,Semantic,: capital-world
London England Nassau Bahamas,Semantic,: capital-world
London England Niamey Niger,Semantic,: capital-world
London England Nicosia Cyprus,Semantic,: capital-world
London England Nouakchott Mauritania,Semantic,: capital-world
London England Nuuk Greenland,Semantic,: capital-world
London England Oslo Norway,Semantic,: capital-world
London England Ottawa Canada,Semantic,: capital-world
London England Paramaribo Suriname,Semantic,: capital-world
London England Paris France,Semantic,: capital-world
London England Podgorica Montenegro,Semantic,: capital-world
London England Quito Ecuador,Semantic,: capital-world
London England Rabat Morocco,Semantic,: capital-world
London England Riga Latvia,Semantic,: capital-world
London England Rome Italy,Semantic,: capital-world
London England Roseau Dominica,Semantic,: capital-world
London England Santiago Chile,Semantic,: capital-world
London England Skopje Macedonia,Semantic,: capital-world
London England Sofia Bulgaria,Semantic,: capital-world
London England Stockholm Sweden,Semantic,: capital-world
London England Suva Fiji,Semantic,: capital-world
London England Taipei Taiwan,Semantic,: capital-world
London England Tallinn Estonia,Semantic,: capital-world
London England Tashkent Uzbekistan,Semantic,: capital-world
London England Tbilisi Georgia,Semantic,: capital-world
London England Tegucigalpa Honduras,Semantic,: capital-world
Luanda Angola Lusaka Zambia,Semantic,: capital-world
Luanda Angola Madrid Spain,Semantic,: capital-world
Luanda Angola Managua Nicaragua,Semantic,: capital-world
Luanda Angola Manama Bahrain,Semantic,: capital-world
Luanda Angola Manila Philippines,Semantic,: capital-world
Luanda Angola Maputo Mozambique,Semantic,: capital-world
Luanda Angola Minsk Belarus,Semantic,: capital-world
Luanda Angola Mogadishu Somalia,Semantic,: capital-world
Luanda Angola Monrovia Liberia,Semantic,: capital-world
Luanda Angola Montevideo Uruguay,Semantic,: capital-world
Luanda Angola Moscow Russia,Semantic,: capital-world
Luanda Angola Muscat Oman,Semantic,: capital-world
Luanda Angola Nairobi Kenya,Semantic,: capital-world
Luanda Angola Nassau Bahamas,Semantic,: capital-world
Luanda Angola Niamey Niger,Semantic,: capital-world
Luanda Angola Nicosia Cyprus,Semantic,: capital-world
Luanda Angola Nouakchott Mauritania,Semantic,: capital-world
Luanda Angola Nuuk Greenland,Semantic,: capital-world
Luanda Angola Oslo Norway,Semantic,: capital-world
Luanda Angola Ottawa Canada,Semantic,: capital-world
Luanda Angola Paramaribo Suriname,Semantic,: capital-world
Luanda Angola Paris France,Semantic,: capital-world
Luanda Angola Podgorica Montenegro,Semantic,: capital-world
Luanda Angola Quito Ecuador,Semantic,: capital-world
Luanda Angola Rabat Morocco,Semantic,: capital-world
Luanda Angola Riga Latvia,Semantic,: capital-world
Luanda Angola Rome Italy,Semantic,: capital-world
Luanda Angola Roseau Dominica,Semantic,: capital-world
Luanda Angola Santiago Chile,Semantic,: capital-world
Luanda Angola Skopje Macedonia,Semantic,: capital-world
Luanda Angola Sofia Bulgaria,Semantic,: capital-world
Luanda Angola Stockholm Sweden,Semantic,: capital-world
Luanda Angola Suva Fiji,Semantic,: capital-world
Luanda Angola Taipei Taiwan,Semantic,: capital-world
Luanda Angola Tallinn Estonia,Semantic,: capital-world
Luanda Angola Tashkent Uzbekistan,Semantic,: capital-world
Luanda Angola Tbilisi Georgia,Semantic,: capital-world
Luanda Angola Tegucigalpa Honduras,Semantic,: capital-world
Luanda Angola Tehran Iran,Semantic,: capital-world
Lusaka Zambia Madrid Spain,Semantic,: capital-world
Lusaka Zambia Managua Nicaragua,Semantic,: capital-world
Lusaka Zambia Manama Bahrain,Semantic,: capital-world
Lusaka Zambia Manila Philippines,Semantic,: capital-world
Lusaka Zambia Maputo Mozambique,Semantic,: capital-world
Lusaka Zambia Minsk Belarus,Semantic,: capital-world
Lusaka Zambia Mogadishu Somalia,Semantic,: capital-world
Lusaka Zambia Monrovia Liberia,Semantic,: capital-world
Lusaka Zambia Montevideo Uruguay,Semantic,: capital-world
Lusaka Zambia Moscow Russia,Semantic,: capital-world
Lusaka Zambia Muscat Oman,Semantic,: capital-world
Lusaka Zambia Nairobi Kenya,Semantic,: capital-world
Lusaka Zambia Nassau Bahamas,Semantic,: capital-world
Lusaka Zambia Niamey Niger,Semantic,: capital-world
Lusaka Zambia Nicosia Cyprus,Semantic,: capital-world
Lusaka Zambia Nouakchott Mauritania,Semantic,: capital-world
Lusaka Zambia Nuuk Greenland,Semantic,: capital-world
Lusaka Zambia Oslo Norway,Semantic,: capital-world
Lusaka Zambia Ottawa Canada,Semantic,: capital-world
Lusaka Zambia Paramaribo Suriname,Semantic,: capital-world
Lusaka Zambia Paris France,Semantic,: capital-world
Lusaka Zambia Podgorica Montenegro,Semantic,: capital-world
Lusaka Zambia Quito Ecuador,Semantic,: capital-world
Lusaka Zambia Rabat Morocco,Semantic,: capital-world
Lusaka Zambia Riga Latvia,Semantic,: capital-world
Lusaka Zambia Rome Italy,Semantic,: capital-world
Lusaka Zambia Roseau Dominica,Semantic,: capital-world
Lusaka Zambia Santiago Chile,Semantic,: capital-world
Lusaka Zambia Skopje Macedonia,Semantic,: capital-world
Lusaka Zambia Sofia Bulgaria,Semantic,: capital-world
Lusaka Zambia Stockholm Sweden,Semantic,: capital-world
Lusaka Zambia Suva Fiji,Semantic,: capital-world
Lusaka Zambia Taipei Taiwan,Semantic,: capital-world
Lusaka Zambia Tallinn Estonia,Semantic,: capital-world
Lusaka Zambia Tashkent Uzbekistan,Semantic,: capital-world
Lusaka Zambia Tbilisi Georgia,Semantic,: capital-world
Lusaka Zambia Tegucigalpa Honduras,Semantic,: capital-world
Lusaka Zambia Tehran Iran,Semantic,: capital-world
Lusaka Zambia Thimphu Bhutan,Semantic,: capital-world
Madrid Spain Managua Nicaragua,Semantic,: capital-world
Madrid Spain Manama Bahrain,Semantic,: capital-world
Madrid Spain Manila Philippines,Semantic,: capital-world
Madrid Spain Maputo Mozambique,Semantic,: capital-world
Madrid Spain Minsk Belarus,Semantic,: capital-world
Madrid Spain Mogadishu Somalia,Semantic,: capital-world
Madrid Spain Monrovia Liberia,Semantic,: capital-world
Madrid Spain Montevideo Uruguay,Semantic,: capital-world
Madrid Spain Moscow Russia,Semantic,: capital-world
Madrid Spain Muscat Oman,Semantic,: capital-world
Madrid Spain Nairobi Kenya,Semantic,: capital-world
Madrid Spain Nassau Bahamas,Semantic,: capital-world
Madrid Spain Niamey Niger,Semantic,: capital-world
Madrid Spain Nicosia Cyprus,Semantic,: capital-world
Madrid Spain Nouakchott Mauritania,Semantic,: capital-world
Madrid Spain Nuuk Greenland,Semantic,: capital-world
Madrid Spain Oslo Norway,Semantic,: capital-world
Madrid Spain Ottawa Canada,Semantic,: capital-world
Madrid Spain Paramaribo Suriname,Semantic,: capital-world
Madrid Spain Paris France,Semantic,: capital-world
Madrid Spain Podgorica Montenegro,Semantic,: capital-world
Madrid Spain Quito Ecuador,Semantic,: capital-world
Madrid Spain Rabat Morocco,Semantic,: capital-world
Madrid Spain Riga Latvia,Semantic,: capital-world
Madrid Spain Rome Italy,Semantic,: capital-world
Madrid Spain Roseau Dominica,Semantic,: capital-world
Madrid Spain Santiago Chile,Semantic,: capital-world
Madrid Spain Skopje Macedonia,Semantic,: capital-world
Madrid Spain Sofia Bulgaria,Semantic,: capital-world
Madrid Spain Stockholm Sweden,Semantic,: capital-world
Madrid Spain Suva Fiji,Semantic,: capital-world
Madrid Spain Taipei Taiwan,Semantic,: capital-world
Madrid Spain Tallinn Estonia,Semantic,: capital-world
Madrid Spain Tashkent Uzbekistan,Semantic,: capital-world
Madrid Spain Tbilisi Georgia,Semantic,: capital-world
Madrid Spain Tegucigalpa Honduras,Semantic,: capital-world
Madrid Spain Tehran Iran,Semantic,: capital-world
Madrid Spain Thimphu Bhutan,Semantic,: capital-world
Madrid Spain Tirana Albania,Semantic,: capital-world
Managua Nicaragua Manama Bahrain,Semantic,: capital-world
Managua Nicaragua Manila Philippines,Semantic,: capital-world
Managua Nicaragua Maputo Mozambique,Semantic,: capital-world
Managua Nicaragua Minsk Belarus,Semantic,: capital-world
Managua Nicaragua Mogadishu Somalia,Semantic,: capital-world
Managua Nicaragua Monrovia Liberia,Semantic,: capital-world
Managua Nicaragua Montevideo Uruguay,Semantic,: capital-world
Managua Nicaragua Moscow Russia,Semantic,: capital-world
Managua Nicaragua Muscat Oman,Semantic,: capital-world
Managua Nicaragua Nairobi Kenya,Semantic,: capital-world
Managua Nicaragua Nassau Bahamas,Semantic,: capital-world
Managua Nicaragua Niamey Niger,Semantic,: capital-world
Managua Nicaragua Nicosia Cyprus,Semantic,: capital-world
Managua Nicaragua Nouakchott Mauritania,Semantic,: capital-world
Managua Nicaragua Nuuk Greenland,Semantic,: capital-world
Managua Nicaragua Oslo Norway,Semantic,: capital-world
Managua Nicaragua Ottawa Canada,Semantic,: capital-world
Managua Nicaragua Paramaribo Suriname,Semantic,: capital-world
Managua Nicaragua Paris France,Semantic,: capital-world
Managua Nicaragua Podgorica Montenegro,Semantic,: capital-world
Managua Nicaragua Quito Ecuador,Semantic,: capital-world
Managua Nicaragua Rabat Morocco,Semantic,: capital-world
Managua Nicaragua Riga Latvia,Semantic,: capital-world
Managua Nicaragua Rome Italy,Semantic,: capital-world
Managua Nicaragua Roseau Dominica,Semantic,: capital-world
Managua Nicaragua Santiago Chile,Semantic,: capital-world
Managua Nicaragua Skopje Macedonia,Semantic,: capital-world
Managua Nicaragua Sofia Bulgaria,Semantic,: capital-world
Managua Nicaragua Stockholm Sweden,Semantic,: capital-world
Managua Nicaragua Suva Fiji,Semantic,: capital-world
Managua Nicaragua Taipei Taiwan,Semantic,: capital-world
Managua Nicaragua Tallinn Estonia,Semantic,: capital-world
Managua Nicaragua Tashkent Uzbekistan,Semantic,: capital-world
Managua Nicaragua Tbilisi Georgia,Semantic,: capital-world
Managua Nicaragua Tegucigalpa Honduras,Semantic,: capital-world
Managua Nicaragua Tehran Iran,Semantic,: capital-world
Managua Nicaragua Thimphu Bhutan,Semantic,: capital-world
Managua Nicaragua Tirana Albania,Semantic,: capital-world
Managua Nicaragua Tokyo Japan,Semantic,: capital-world
Manama Bahrain Manila Philippines,Semantic,: capital-world
Manama Bahrain Maputo Mozambique,Semantic,: capital-world
Manama Bahrain Minsk Belarus,Semantic,: capital-world
Manama Bahrain Mogadishu Somalia,Semantic,: capital-world
Manama Bahrain Monrovia Liberia,Semantic,: capital-world
Manama Bahrain Montevideo Uruguay,Semantic,: capital-world
Manama Bahrain Moscow Russia,Semantic,: capital-world
Manama Bahrain Muscat Oman,Semantic,: capital-world
Manama Bahrain Nairobi Kenya,Semantic,: capital-world
Manama Bahrain Nassau Bahamas,Semantic,: capital-world
Manama Bahrain Niamey Niger,Semantic,: capital-world
Manama Bahrain Nicosia Cyprus,Semantic,: capital-world
Manama Bahrain Nouakchott Mauritania,Semantic,: capital-world
Manama Bahrain Nuuk Greenland,Semantic,: capital-world
Manama Bahrain Oslo Norway,Semantic,: capital-world
Manama Bahrain Ottawa Canada,Semantic,: capital-world
Manama Bahrain Paramaribo Suriname,Semantic,: capital-world
Manama Bahrain Paris France,Semantic,: capital-world
Manama Bahrain Podgorica Montenegro,Semantic,: capital-world
Manama Bahrain Quito Ecuador,Semantic,: capital-world
Manama Bahrain Rabat Morocco,Semantic,: capital-world
Manama Bahrain Riga Latvia,Semantic,: capital-world
Manama Bahrain Rome Italy,Semantic,: capital-world
Manama Bahrain Roseau Dominica,Semantic,: capital-world
Manama Bahrain Santiago Chile,Semantic,: capital-world
Manama Bahrain Skopje Macedonia,Semantic,: capital-world
Manama Bahrain Sofia Bulgaria,Semantic,: capital-world
Manama Bahrain Stockholm Sweden,Semantic,: capital-world
Manama Bahrain Suva Fiji,Semantic,: capital-world
Manama Bahrain Taipei Taiwan,Semantic,: capital-world
Manama Bahrain Tallinn Estonia,Semantic,: capital-world
Manama Bahrain Tashkent Uzbekistan,Semantic,: capital-world
Manama Bahrain Tbilisi Georgia,Semantic,: capital-world
Manama Bahrain Tegucigalpa Honduras,Semantic,: capital-world
Manama Bahrain Tehran Iran,Semantic,: capital-world
Manama Bahrain Thimphu Bhutan,Semantic,: capital-world
Manama Bahrain Tirana Albania,Semantic,: capital-world
Manama Bahrain Tokyo Japan,Semantic,: capital-world
Manama Bahrain Tripoli Libya,Semantic,: capital-world
Manila Philippines Maputo Mozambique,Semantic,: capital-world
Manila Philippines Minsk Belarus,Semantic,: capital-world
Manila Philippines Mogadishu Somalia,Semantic,: capital-world
Manila Philippines Monrovia Liberia,Semantic,: capital-world
Manila Philippines Montevideo Uruguay,Semantic,: capital-world
Manila Philippines Moscow Russia,Semantic,: capital-world
Manila Philippines Muscat Oman,Semantic,: capital-world
Manila Philippines Nairobi Kenya,Semantic,: capital-world
Manila Philippines Nassau Bahamas,Semantic,: capital-world
Manila Philippines Niamey Niger,Semantic,: capital-world
Manila Philippines Nicosia Cyprus,Semantic,: capital-world
Manila Philippines Nouakchott Mauritania,Semantic,: capital-world
Manila Philippines Nuuk Greenland,Semantic,: capital-world
Manila Philippines Oslo Norway,Semantic,: capital-world
Manila Philippines Ottawa Canada,Semantic,: capital-world
Manila Philippines Paramaribo Suriname,Semantic,: capital-world
Manila Philippines Paris France,Semantic,: capital-world
Manila Philippines Podgorica Montenegro,Semantic,: capital-world
Manila Philippines Quito Ecuador,Semantic,: capital-world
Manila Philippines Rabat Morocco,Semantic,: capital-world
Manila Philippines Riga Latvia,Semantic,: capital-world
Manila Philippines Rome Italy,Semantic,: capital-world
Manila Philippines Roseau Dominica,Semantic,: capital-world
Manila Philippines Santiago Chile,Semantic,: capital-world
Manila Philippines Skopje Macedonia,Semantic,: capital-world
Manila Philippines Sofia Bulgaria,Semantic,: capital-world
Manila Philippines Stockholm Sweden,Semantic,: capital-world
Manila Philippines Suva Fiji,Semantic,: capital-world
Manila Philippines Taipei Taiwan,Semantic,: capital-world
Manila Philippines Tallinn Estonia,Semantic,: capital-world
Manila Philippines Tashkent Uzbekistan,Semantic,: capital-world
Manila Philippines Tbilisi Georgia,Semantic,: capital-world
Manila Philippines Tegucigalpa Honduras,Semantic,: capital-world
Manila Philippines Tehran Iran,Semantic,: capital-world
Manila Philippines Thimphu Bhutan,Semantic,: capital-world
Manila Philippines Tirana Albania,Semantic,: capital-world
Manila Philippines Tokyo Japan,Semantic,: capital-world
Manila Philippines Tripoli Libya,Semantic,: capital-world
Manila Philippines Tunis Tunisia,Semantic,: capital-world
Maputo Mozambique Minsk Belarus,Semantic,: capital-world
Maputo Mozambique Mogadishu Somalia,Semantic,: capital-world
Maputo Mozambique Monrovia Liberia,Semantic,: capital-world
Maputo Mozambique Montevideo Uruguay,Semantic,: capital-world
Maputo Mozambique Moscow Russia,Semantic,: capital-world
Maputo Mozambique Muscat Oman,Semantic,: capital-world
Maputo Mozambique Nairobi Kenya,Semantic,: capital-world
Maputo Mozambique Nassau Bahamas,Semantic,: capital-world
Maputo Mozambique Niamey Niger,Semantic,: capital-world
Maputo Mozambique Nicosia Cyprus,Semantic,: capital-world
Maputo Mozambique Nouakchott Mauritania,Semantic,: capital-world
Maputo Mozambique Nuuk Greenland,Semantic,: capital-world
Maputo Mozambique Oslo Norway,Semantic,: capital-world
Maputo Mozambique Ottawa Canada,Semantic,: capital-world
Maputo Mozambique Paramaribo Suriname,Semantic,: capital-world
Maputo Mozambique Paris France,Semantic,: capital-world
Maputo Mozambique Podgorica Montenegro,Semantic,: capital-world
Maputo Mozambique Quito Ecuador,Semantic,: capital-world
Maputo Mozambique Rabat Morocco,Semantic,: capital-world
Maputo Mozambique Riga Latvia,Semantic,: capital-world
Maputo Mozambique Rome Italy,Semantic,: capital-world
Maputo Mozambique Roseau Dominica,Semantic,: capital-world
Maputo Mozambique Santiago Chile,Semantic,: capital-world
Maputo Mozambique Skopje Macedonia,Semantic,: capital-world
Maputo Mozambique Sofia Bulgaria,Semantic,: capital-world
Maputo Mozambique Stockholm Sweden,Semantic,: capital-world
Maputo Mozambique Suva Fiji,Semantic,: capital-world
Maputo Mozambique Taipei Taiwan,Semantic,: capital-world
Maputo Mozambique Tallinn Estonia,Semantic,: capital-world
Maputo Mozambique Tashkent Uzbekistan,Semantic,: capital-world
Maputo Mozambique Tbilisi Georgia,Semantic,: capital-world
Maputo Mozambique Tegucigalpa Honduras,Semantic,: capital-world
Maputo Mozambique Tehran Iran,Semantic,: capital-world
Maputo Mozambique Thimphu Bhutan,Semantic,: capital-world
Maputo Mozambique Tirana Albania,Semantic,: capital-world
Maputo Mozambique Tokyo Japan,Semantic,: capital-world
Maputo Mozambique Tripoli Libya,Semantic,: capital-world
Maputo Mozambique Tunis Tunisia,Semantic,: capital-world
Maputo Mozambique Vaduz Liechtenstein,Semantic,: capital-world
Minsk Belarus Mogadishu Somalia,Semantic,: capital-world
Minsk Belarus Monrovia Liberia,Semantic,: capital-world
Minsk Belarus Montevideo Uruguay,Semantic,: capital-world
Minsk Belarus Moscow Russia,Semantic,: capital-world
Minsk Belarus Muscat Oman,Semantic,: capital-world
Minsk Belarus Nairobi Kenya,Semantic,: capital-world
Minsk Belarus Nassau Bahamas,Semantic,: capital-world
Minsk Belarus Niamey Niger,Semantic,: capital-world
Minsk Belarus Nicosia Cyprus,Semantic,: capital-world
Minsk Belarus Nouakchott Mauritania,Semantic,: capital-world
Minsk Belarus Nuuk Greenland,Semantic,: capital-world
Minsk Belarus Oslo Norway,Semantic,: capital-world
Minsk Belarus Ottawa Canada,Semantic,: capital-world
Minsk Belarus Paramaribo Suriname,Semantic,: capital-world
Minsk Belarus Paris France,Semantic,: capital-world
Minsk Belarus Podgorica Montenegro,Semantic,: capital-world
Minsk Belarus Quito Ecuador,Semantic,: capital-world
Minsk Belarus Rabat Morocco,Semantic,: capital-world
Minsk Belarus Riga Latvia,Semantic,: capital-world
Minsk Belarus Rome Italy,Semantic,: capital-world
Minsk Belarus Roseau Dominica,Semantic,: capital-world
Minsk Belarus Santiago Chile,Semantic,: capital-world
Minsk Belarus Skopje Macedonia,Semantic,: capital-world
Minsk Belarus Sofia Bulgaria,Semantic,: capital-world
Minsk Belarus Stockholm Sweden,Semantic,: capital-world
Minsk Belarus Suva Fiji,Semantic,: capital-world
Minsk Belarus Taipei Taiwan,Semantic,: capital-world
Minsk Belarus Tallinn Estonia,Semantic,: capital-world
Minsk Belarus Tashkent Uzbekistan,Semantic,: capital-world
Minsk Belarus Tbilisi Georgia,Semantic,: capital-world
Minsk Belarus Tegucigalpa Honduras,Semantic,: capital-world
Minsk Belarus Tehran Iran,Semantic,: capital-world
Minsk Belarus Thimphu Bhutan,Semantic,: capital-world
Minsk Belarus Tirana Albania,Semantic,: capital-world
Minsk Belarus Tokyo Japan,Semantic,: capital-world
Minsk Belarus Tripoli Libya,Semantic,: capital-world
Minsk Belarus Tunis Tunisia,Semantic,: capital-world
Minsk Belarus Vaduz Liechtenstein,Semantic,: capital-world
Minsk Belarus Valletta Malta,Semantic,: capital-world
Mogadishu Somalia Monrovia Liberia,Semantic,: capital-world
Mogadishu Somalia Montevideo Uruguay,Semantic,: capital-world
Mogadishu Somalia Moscow Russia,Semantic,: capital-world
Mogadishu Somalia Muscat Oman,Semantic,: capital-world
Mogadishu Somalia Nairobi Kenya,Semantic,: capital-world
Mogadishu Somalia Nassau Bahamas,Semantic,: capital-world
Mogadishu Somalia Niamey Niger,Semantic,: capital-world
Mogadishu Somalia Nicosia Cyprus,Semantic,: capital-world
Mogadishu Somalia Nouakchott Mauritania,Semantic,: capital-world
Mogadishu Somalia Nuuk Greenland,Semantic,: capital-world
Mogadishu Somalia Oslo Norway,Semantic,: capital-world
Mogadishu Somalia Ottawa Canada,Semantic,: capital-world
Mogadishu Somalia Paramaribo Suriname,Semantic,: capital-world
Mogadishu Somalia Paris France,Semantic,: capital-world
Mogadishu Somalia Podgorica Montenegro,Semantic,: capital-world
Mogadishu Somalia Quito Ecuador,Semantic,: capital-world
Mogadishu Somalia Rabat Morocco,Semantic,: capital-world
Mogadishu Somalia Riga Latvia,Semantic,: capital-world
Mogadishu Somalia Rome Italy,Semantic,: capital-world
